Seller_ID,Seller_Name,Seller_Type,Primary_Category,Region,Country,Onboarding_Date,Marketplace_Tier,Business_Size,KYC_Status,Preferred_Fulfillment_Mode,Account_Status
1,Swift Goods 001,Enterprise,Electronics,Southeast Asia,Singapore,2023-01-01,Standard,Small,Verified,Self-fulfilled,Active
2,Blue Source 002,Enterprise,Home,South,Indonesia,2022-01-25,Verified,Large,Verified,Platform Fulfilled,Under Review
3,Vertex Supply 003,Individual,Electronics,West,Singapore,2023-06-20,Standard,Small,Rejected,Self-fulfilled,Under Review
4,Zen Mart 004,SME,Fashion,Southeast Asia,Malaysia,2021-12-03,Standard,Small,Rejected,Self-fulfilled,Active
5,True House 005,Individual,Fashion,West,Malaysia,2020-06-12,Standard,Small,Verified,Self-fulfilled,Active
6,Core Traders 006,Brand Partner,Beauty,South,Indonesia,2023-05-21,Premium,Large,Verified,Self-fulfilled,Active
7,Urban Works 007,SME,Fashion,West,Malaysia,2018-04-19,Premium,Large,Verified,Self-fulfilled,Under Review
8,Bright Nest 008,Enterprise,Fashion,South,India,2021-12-19,Verified,Medium,Pending,Platform Fulfilled,Active
9,Golden Hub 009,SME,Electronics,North,India,2020-11-14,Strategic,Medium,Verified,Platform Fulfilled,Active
10,Ever Merchants 010,SME,Electronics,North,Thailand,2022-11-11,Standard,Small,Verified,Platform Fulfilled,Under Review
11,Orbit Square 011,Enterprise,Groceries,South,Thailand,2018-11-10,Strategic,Large,Verified,Platform Fulfilled,Active
12,Pulse Commerce 012,Individual,Groceries,North,Thailand,2023-08-01,Verified,Small,Verified,Platform Fulfilled,Restricted
13,Summit Bazaar 013,Brand Partner,Groceries,North,Singapore,2025-02-25,Premium,Large,Verified,Self-fulfilled,Active
14,Prime Bridge 014,Enterprise,Groceries,West,India,2020-12-10,Strategic,Medium,Verified,Platform Fulfilled,Active
15,Apex Retail 015,SME,Electronics,East,Singapore,2021-10-08,Premium,Small,Verified,Hybrid,Active
